StationID,TimeStamp,sound@var,sound@power,sound@skew,sound@kurt,sound@abs_max,sound@abs_mean,sound@abs_max_top5p,sound@abs_max_top10p,sound@energy_sstd,sound@energy_smax,sound@s_zero_rate,sound@s_zero_rate_max,sound@power_0_5,sound@power_5_10,sound@power_10_15,sound@power_15_20,sound@power_20_25,sound@power_25_30,sound@power_30_35,sound@power_35_40,sound@power_40_60,sound@power_140_160,sound@power_other,sound@frequency_center,sound@mean_square_frequency,sound@variance_frequency,sound@frequency_entropy,sound@level4d_abs_mean,sound@level4d_energy,sound@level4d_energy_smax,sound@level4d_energy_sstd,sound@level5d_abs_mean,sound@level5d_energy,sound@level5d_energy_smax,sound@level5d_energy_sstd,sound@level6a_abs_mean,sound@level6a_energy,sound@level6a_energy_smax,sound@level6a_energy_sstd,sound@level6d_abs_mean,sound@level6d_energy,sound@level6d_energy_smax,sound@level6d_energy_sstd,sound@mean
77,1688227200,0.0,0.0,0.0,0.0,2.0428168000000008e-24,1.3051727e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.380466,0.031643054999999996,0.0,6.3571277,3.5697899999999994e-28,0.0,0.0,0.0,1.0827799e-27,0.0,0.0,0.0,1.3109946000000001e-24,6.4e-44,0.0,0.0,1.96627e-27,0.0,0.0,0.0,0.18402662873268127
77,1688227800,0.0,0.0,0.0,0.0,2.0428168000000008e-24,1.3051727e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.380466,0.031643054999999996,0.0,6.3571277,3.5697899999999994e-28,0.0,0.0,0.0,1.0827799e-27,0.0,0.0,0.0,1.3109946000000001e-24,6.4e-44,0.0,0.0,1.96627e-27,0.0,0.0,0.0,0.18402662873268127
77,1688228400,0.0,0.0,0.0,0.0,2.0428168000000008e-24,1.3051727e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.380466,0.031643054999999996,0.0,6.3571277,3.5697899999999994e-28,0.0,0.0,0.0,1.0827799e-27,0.0,0.0,0.0,1.3109946000000001e-24,6.4e-44,0.0,0.0,1.96627e-27,0.0,0.0,0.0,0.18402662873268127
77,1688229000,0.0,0.0,0.0,0.0,2.0428168000000008e-24,1.3051727e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.380466,0.031643054999999996,0.0,6.3571277,3.5697899999999994e-28,0.0,0.0,0.0,1.0827799e-27,0.0,0.0,0.0,1.3109946000000001e-24,6.4e-44,0.0,0.0,1.96627e-27,0.0,0.0,0.0,0.18402662873268127
77,1688229600,0.0,0.0,0.0,0.0,2.0428168000000008e-24,1.3051727e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.380466,0.031643054999999996,0.0,6.3571277,3.5697899999999994e-28,0.0,0.0,0.0,1.0827799e-27,0.0,0.0,0.0,1.3109946000000001e-24,6.4e-44,0.0,0.0,1.96627e-27,0.0,0.0,0.0,0.18402662873268127
77,1688230200,0.0,0.0,0.0,0.0,2.0428168000000008e-24,1.3051727e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.380466,0.031643054999999996,0.0,6.3571277,3.5697899999999994e-28,0.0,0.0,0.0,1.0827799e-27,0.0,0.0,0.0,1.3109946000000001e-24,6.4e-44,0.0,0.0,1.96627e-27,0.0,0.0,0.0,0.18402662873268127
77,1688230800,0.0,0.0,0.0,0.0,2.0428168000000008e-24,1.3051727e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.380466,0.031643054999999996,0.0,6.3571277,3.5697899999999994e-28,0.0,0.0,0.0,1.0827799e-27,0.0,0.0,0.0,1.3109946000000001e-24,6.4e-44,0.0,0.0,1.96627e-27,0.0,0.0,0.0,0.18402662873268127
77,1688231400,0.0,0.0,0.0,0.0,2.0428168000000008e-24,1.3051727e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.380466,0.031643054999999996,0.0,6.3571277,3.5697899999999994e-28,0.0,0.0,0.0,1.0827799e-27,0.0,0.0,0.0,1.3109946000000001e-24,6.4e-44,0.0,0.0,1.96627e-27,0.0,0.0,0.0,0.18402662873268127
77,1688232000,0.0,0.0,0.0,0.0,2.0428168000000008e-24,1.3051727e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.380466,0.031643054999999996,0.0,6.3571277,3.5697899999999994e-28,0.0,0.0,0.0,1.0827799e-27,0.0,0.0,0.0,1.3109946000000001e-24,6.4e-44,0.0,0.0,1.96627e-27,0.0,0.0,0.0,0.18402662873268127
77,1688232600,0.0,0.0,0.0,0.0,2.0428168000000008e-24,1.3051727e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.380466,0.031643054999999996,0.0,6.3571277,3.5697899999999994e-28,0.0,0.0,0.0,1.0827799e-27,0.0,0.0,0.0,1.3109946000000001e-24,6.4e-44,0.0,0.0,1.96627e-27,0.0,0.0,0.0,0.18402662873268127
